image_id,predicted_count,actual_count,count_error,fdr,fnr,f1
img031_20201027_Kaizu_TCA422_515x515,20,19,0.05263157894736842,0.05,0.0,0.9743589743589743
img032_20201027_Kaizu_OkinaSP_515x515,29,27,0.07407407407407407,0.10344827586206896,0.037037037037037035,0.9285714285714286
img033_20201027_Kaizu_TCA422_515x515,25,26,-0.038461538461538464,0.0,0.038461538461538464,0.9803921568627451
img034_20201027_Kaizu_TCA422_515x515,31,30,0.03333333333333333,0.03225806451612903,0.0,0.9836065573770492
img036_20201027_Kaizu_TCA422_515x515,24,21,0.14285714285714285,0.125,0.0,0.9333333333333333
img037_20201027_Kaizu_OkinaSP_515x515,27,27,0.0,0.0,0.0,1.0
img038_20201027_Kaizu_OkinaSP_515x515,30,30,0.0,0.0,0.0,1.0
img040_20201027_Kaizu_OkinaSP_515x515,30,29,0.034482758620689655,0.03333333333333333,0.0,0.9830508474576272
img042_20201027_Kaizu_TCA422_515x515,16,17,-0.058823529411764705,0.0,0.058823529411764705,0.9696969696969697
img044_20201027_Kaizu_OkinaSP_515x515,29,24,0.20833333333333334,0.1724137931034483,0.0,0.9056603773584906
img047_20201027_Kaizu_OkinaSP_515x515,27,24,0.125,0.1111111111111111,0.0,0.9411764705882353
img048_20201027_Kaizu_OkinaSP_515x515,26,25,0.04,0.038461538461538464,0.0,0.9803921568627451
img049_20201027_Kaizu_OkinaSP_515x515,29,26,0.11538461538461539,0.13793103448275862,0.038461538461538464,0.9090909090909091
img050_20201027_Kaizu_OkinaSP_515x515,28,24,0.16666666666666666,0.14285714285714285,0.0,0.9230769230769231
img052_20201027_Kaizu_OkinaSP_515x515,27,25,0.08,0.07407407407407407,0.0,0.9615384615384616
img053_20201027_Kaizu_OkinaSP_515x515,29,28,0.03571428571428571,0.06896551724137931,0.03571428571428571,0.9473684210526315
img054_20201027_Kaizu_OkinaSP_515x515,28,26,0.07692307692307693,0.07142857142857142,0.0,0.9629629629629629
img055_20201027_Kaizu_OkinaSP_515x515,30,29,0.034482758620689655,0.03333333333333333,0.0,0.9830508474576272
img057_20201027_Kaizu_OkinaSP_515x515,29,27,0.07407407407407407,0.06896551724137931,0.0,0.9642857142857143
img059_20201027_Kaizu_OkinaSP_515x515,15,13,0.15384615384615385,0.13333333333333333,0.0,0.9285714285714286
img060_20201027_Kaizu_TCA422_515x515,28,26,0.07692307692307693,0.07142857142857142,0.0,0.9629629629629629
img063_20201027_Kaizu_TCA422_515x515,29,29,0.0,0.0,0.0,1.0
img064_20201027_Kaizu_TCA422_515x515,32,30,0.06666666666666667,0.0625,0.0,0.967741935483871
img066_20201027_Kaizu_TCA422_515x515,35,32,0.09375,0.08571428571428572,0.0,0.9552238805970149
img067_20201027_Kaizu_TCA422_515x515,34,29,0.1724137931034483,0.14705882352941177,0.0,0.9206349206349206
img069_20201027_Kaizu_TCA422_515x515,31,29,0.06896551724137931,0.0967741935483871,0.034482758620689655,0.9333333333333333
img071_20201027_Kaizu_TCA422_515x515,32,32,0.0,0.03125,0.03125,0.96875
img073_20201027_Kaizu_TCA422_515x515,29,25,0.16,0.13793103448275862,0.0,0.9259259259259259
img074_20201027_Kaizu_TCA422_515x515,33,29,0.13793103448275862,0.12121212121212122,0.0,0.9354838709677419
img077_20201027_Kaizu_TCA422_515x515,32,29,0.10344827586206896,0.09375,0.0,0.9508196721311475
img078_20201027_Kaizu_TCA422_515x515,29,27,0.07407407407407407,0.06896551724137931,0.0,0.9642857142857143
img079_20201027_Kaizu_TCA422_515x515,31,26,0.19230769230769232,0.16129032258064516,0.0,0.9122807017543859
img081_20201027_Kaizu_TCA422_900x900,15,14,0.07142857142857142,0.06666666666666667,0.0,0.9655172413793104
img082_20201027_Kaizu_TCA422_900x900,83,79,0.05063291139240506,0.060240963855421686,0.012658227848101266,0.9629629629629629
img085_20201027_Kaizu_TCA422_900x900,70,65,0.07692307692307693,0.11428571428571428,0.046153846153846156,0.9185185185185185
img086_20201027_Kaizu_TCA422_900x900,10,9,0.1111111111111111,0.1,0.0,0.9473684210526315
img087_20201027_Kaizu_TCA422_900x900,57,56,0.017857142857142856,0.05263157894736842,0.03571428571428571,0.9557522123893806
img088_20201027_Kaizu_TCA422_900x900,78,75,0.04,0.038461538461538464,0.0,0.9803921568627451
img090_20201027_Kaizu_TCA422_900x900,79,77,0.025974025974025976,0.0379746835443038,0.012987012987012988,0.9743589743589743
img094_20201027_Kaizu_TCA422_900x900,65,60,0.08333333333333333,0.07692307692307693,0.0,0.96
